Estabelecimento;Grupo 1;Grupo 2;Grupo 3;Grupo 4;Grupo 5;Grupo 6;Grupo 7;Grupo 8;Grupo 9;Grupo 10;Branco/Ignorado;Todos
0000000 PÚBLICO;312;987;163;480;1.719;111;164;243;18;475;3;4.675
2082152 CAISM CENTRO DE ATENCAO INTEGRAL DE SAUDE DA MULHER CAMPINAS;0;1;0;1;2;1;0;2;0;4;0;11
2079798 HOSPITAL DAS CLINICAS DA UNICAMP DE CAMPINAS;21;102;17;68;230;26;37;102;15;141;0;759
2087715 HOSPITAL E MATERNIDADE MUNICIPAL GOVERNADOR MARIO COVAS;54;210;25;89;340;18;12;22;1;54;3;828
2083981 HOSPITAL ESTADUAL SUMARE;49;250;43;111;379;28;63;77;2;164;0;1.166
2081059 HOSPITAL MUNICIPAL DE PAULINIA;20;111;9;63;154;6;18;20;0;18;0;419
2058308 HOSPITAL MUNICIPAL DR ACILIO CARREON GARCIA;24;24;7;9;61;2;3;0;0;5;0;135
2058790 HOSPITAL MUNICIPAL DR WALDEMAR TEBALDI;64;111;38;42;221;12;16;18;0;57;0;579
2023474 HOSPITAL MUNICIPAL WALTER FERRARI;61;125;19;59;235;13;11;2;0;13;0;538
2037297 PRONTO SOCORRO MUNICIPAL DE ARTUR NOGUEIRA;19;53;5;38;97;5;4;0;0;19;0;240
0000000 NÃO PÚBLICO;2.841;3.268;1.616;1.223;5.658;350;406;709;33;1.834;140;18.515
2078341 ASSOCIACAO HOSPITAL BENEFICENTE SAGRADO CORACAO DE JESUS;27;77;18;33;163;2;6;0;1;25;4;356
2784602 HOSPITAL AUGUSTO DE OLIVEIRA CAMARGO;84;216;33;114;339;25;29;36;1;100;74;1.051
3018288 HOSPITAL BOM SAMARITANO DE ARTUR NOGUEIRA;0;0;0;0;2;0;0;0;0;0;0;2
2082128 HOSPITAL E MATERNIDADE CELSO PIERRO;91;237;47;99;403;29;47;62;5;208;0;1.228
5515483 HOSPITAL E MATERNIDADE GALILEO;76;44;26;6;123;3;10;21;11;50;4;374
2023148 HOSPITAL EVANGELICO SAMARITANO DE CAMPINAS;51;201;13;75;192;24;14;26;1;104;0;701
2078678 HOSPITAL GERAL E MATERNIDADE MADRE MARIA THEODORA LTDA;95;263;19;61;268;43;39;45;2;72;0;907
7044666 HOSPITAL RENASCENCA CAMPINAS;117;413;29;147;425;37;35;55;0;105;0;1.363
7019661 HOSPITAL SAMARITANO;0;94;0;22;85;1;1;0;0;3;3;209
2079232 HOSPITAL SANTA BARBARA;60;198;29;70;326;16;18;24;2;57;1;801
2078872 HOSPITAL SANTA IGNES;20;213;9;87;256;23;50;38;1;110;53;860
2081938 HOSPITAL SANTA TEREZA;17;107;2;47;111;5;9;8;0;64;0;370
2082179 HOSPITAL SAO FRANCISCO DE AMERICANA;58;305;34;101;284;35;30;34;0;68;0;949
3038130 HOSPITAL UNIMED DE AMERICANA;141;202;29;60;274;29;23;28;4;68;1;859
2078376 HOSPITAL VERA CRUZ;62;223;16;74;270;22;30;55;0;90;0;842
7855141 IRMANDADE DA SANTA CASA DE MISERICORDIA DE VALINHOS;0;0;0;0;0;0;0;0;0;0;0;437
2022621 MATERNIDADE DE CAMPINAS;1.881;66;1.283;33;1.575;35;46;250;1;643;0;5.813
9639659 SANTA CASA DE MISERICORDIA DE COSMOPOLIS;21;48;15;22;80;1;3;0;0;2;0;192
2023709 SANTA CASA DE MISERICORDIA DE ITATIBA;15;286;8;128;338;15;13;25;3;43;0;874
2699915 SANTA CASA DE VINHEDO;25;75;6;44;144;5;3;2;1;22;0;327
