"Regiao de Saude (CIR)";"Vaginal";"Cesario";"Ignorado";"Total"
"12001 Alto Acre";555;471;NA;1026
"12002 Baixo Acre e Purus";4235;4939;1;9175
"12003 Juru? e Tarauac?/Envira";2805;2228;8;5041
"27001 1? Regiao de Sa?de";8125;12733;NA;20858
"27002 2? Regiao de Sa?de";1418;538;3;1959
"27003 3? Regiao de Sa?de";1163;669;1;1833
"27004 4? Regiao de Sa?de";477;NA;NA;477
"27005 5? Regiao de Sa?de";1185;997;NA;2182
"27006 6? Regiao de Sa?de";1000;1346;NA;2346
"27007 7? Regiao de Sa?de";3125;5338;4;8467
"27008 8? Regiao de Sa?de";820;1368;NA;2188
"27009 9? Regiao de Sa?de";1987;2309;NA;4296
"27010 10? Regiao de Sa?de";1150;811;NA;1961
"13001 Manaus, Entorno e Alto Rio Negro";20555;20220;NA;40775
"13002 Rio Negro e Solim?es";2921;1955;NA;4876
"13003 Rio Madeira";1722;1149;NA;2871
"13004 M?dio Amazonas";1844;888;NA;2732
"13005 Baixo Amazonas";2843;1620;NA;4463
"13006 Regional Purus";1295;956;NA;2251
"13007 Regional Juru?";1450;821;NA;2271
"13008 Tri?ngulo";2281;897;NA;3178
"13009 Alto Solim?es";4984;1424;NA;6408
"16001 ?rea Central";5913;4680;7;10600
"16002 ?rea Norte";600;183;1;784
"16003 ?rea Sudoeste";1909;1209;NA;3118
"29001 Alagoinhas";2681;1112;4;3797
"29002 Barreiras";3769;4068;10;7847
"29003 Brumado";1581;2467;10;4058
"29004 Cama?ari";3683;2471;2;6156
"29005 Cruz das Almas";1028;1172;2;2202
"29006 Feira de Santana";6445;9049;13;15507
"29007 Guanambi";2329;2828;16;5173
"29008 Ibotirama";1359;767;5;2131
"29009 Ilh?us";2368;1398;6;3772
"29010 Irec?";2802;2449;1;5252
"29011 Itaberaba";1313;1197;5;2515
"29012 Itabuna";3083;2188;NA;5271
"29013 Itapetinga";1120;465;2;1587
"29014 Jacobina";1933;1290;4;3227
"29015 Jequi?";2669;3176;11;5856
"29016 Juazeiro";4145;2531;4;6680
"29017 Paulo Afonso";1239;1389;2;2630
"29018 Porto Seguro";3512;2257;NA;5769
"29019 Ribeira do Pombal";1598;1588;4;3190
"29020 Salvador";16814;19249;35;36098
"29021 Santa Maria da Vit?ria";1968;2185;4;4157
"29022 Santo Ant?nio de Jesus";1543;2610;5;4158
"29023 Seabra";1096;1355;5;2456
"29024 Senhor do Bonfim";1887;1627;NA;3514
"29025 Serrinha";2494;3023;8;5525
"29026 Teixeira de Freitas";2985;2987;5;5977
"29027 Valen?a";1639;971;2;2612
"29028 Vit?ria da Conquista";4871;4747;1;9619
"23001 1? RS FORTALEZA";19922;39557;53;59532
"23011 5? RS SOBRAL";8470;13033;14;21517
"23023 2? RS Cariri";4547;14204;4;18755
"23024 3? RS Sert?o Central";2540;4704;1;7245
"23025 4? RS Litoral Leste/Jaguaribe";1338;3018;NA;4356
"53001 Distrito Federal";21180;26844;3;48027
"32002 Metropolitana";12523;17816;16;30355
"32004 Sul";2664;5729;2;8395
"32005 Central Norte";5098;7993;2;13093
"52001 Central";11198;25146;NA;36344
"52002 Centro Sul";1709;2824;NA;4533
"52003 Entorno Norte";1034;1584;NA;2618
"52004 Entorno Sul";1150;1270;NA;2420
"52005 Estrada de Ferro";722;2744;NA;3466
"52006 Nordeste I";259;346;1;606
"52007 Nordeste II";410;636;1;1047
"52008 Norte";312;1144;2;1458
"52009 Oeste I";116;977;NA;1093
"52010 Oeste II";158;851;NA;1009
"52011 Pirineus";2216;4812;NA;7028
"52012 Rio Vermelho";269;1269;1;1539
"52013 S?o Patr?cio I";410;1512;NA;1922
"52014 Serra da Mesa";578;1378;NA;1956
"52015 Sudoeste I";1338;4370;NA;5708
"52016 Sudoeste II";573;2414;NA;2987
"52017 Sul";528;2157;NA;2685
"52018 S?o Patr?cio II";223;1346;NA;1569
"21001 A?ail?ndia";1717;1471;2;3190
"21002 Bacabal";588;2562;5;3155
"21003 Balsas";1399;2232;NA;3631
"21004 Barra do Corda";1857;2397;3;4257
"21005 Caxias";2059;1969;1;4029
"21006 Chapadinha";1717;2435;6;4158
"21007 Cod?";2203;3194;5;5402
"21008 Imperatriz";4363;5593;4;9960
"21009 Itapecuru Mirim";1763;2394;5;4162
"21010 Pedreiras";772;1663;4;2439
"21011 Pinheiro";2977;1817;22;4816
"21012 Presidente Dutra";688;2152;5;2845
"21013 Ros?rio";1904;1133;3;3040
"21014 Santa In?s";1867;3207;1;5075
"21015 S?o Jo?o dos Patos";1319;1812;8;3139
"21016 S?o Lu?s";8144;13861;12;22017
"21017 Timon";1591;1449;1;3041
"21018 Viana";1657;1147;2;2806
"21019 Z? Doca";2119;1772;17;3908
"31001 Alfenas/Machado";1083;2063;4;3150
"31002 Guaxup?";164;1224;NA;1388
"31003 Itajub?";859;1229;NA;2088
"31004 Lavras";675;1470;NA;2145
"31006 Po?os de Caldas";827;1675;2;2504
"31007 Pouso Alegre";1987;4280;9;6276
"31008 S?o Louren?o";649;1925;NA;2574
"31009 S?o Sebasti?o do Para?so";615;783;NA;1398
"31010 Tr?s Cora??es";498;774;NA;1272
"31011 Tr?s Pontas";408;965;NA;1373
"31012 Varginha";646;1862;NA;2508
"31013 Barbacena";780;1574;5;2359
"31015 S?o Jo?o Del Rei";576;1277;9;1862
"31016 Belo Horizonte/Nova Lima/Santa Luzia";23831;21763;4;45598
